Score,Commit,Games_Played,Win,Loss,Nullified,Score (%),UnderShoot,time_avg_bid,time_avg_play,time_trump
-1,test,1,0,1,0,0.0,-10,42.014,20647.09,1.501
-1,test,1,0,1,0,0.0,-2,5.38,17073.827,0.0
-1,test,1,0,1,0,0.0,-5,5.325,26573.464,0.0
-1,test,1,0,1,0,0.0,-9,4.926,16903.478,0.0
-1,test,1,0,1,0,0.0,-11,2.519,26511.34,0.926
-1,2500_against_self_for_data_generation,3,1,2,0,33.333,-32,3.926,21456.648,0.0
-14,discount.3v.5,300,143,157,0,47.667,-4121,3.259,7276.445,0.792
-18,UCB2_vs_UCB2_early_stop,500,241,259,0,48.2,-7002,3.04,209639.185,0.777
-1930,ucb2_against_self,10000,4035,5965,0,40.35,-137886,2.007,3951.732,0.99
-2,UCB2_vs_UCB2_early_stop,10,4,6,0,40.0,-10,4.373,138.863,0.617
-2,UCB2_vs_UCB2_early_stop,10,4,6,0,40.0,-17,2.767,181.152,0.555
-26,tree.800_v_random,100,63,37,0,63.0,-1300,0.0,0.0,0.0
-36,discount.3v.7,300,132,168,0,44.0,-4014,3.904,7240.661,0.854
-38,UCB2_vs_UCB2_early_stop,100,31,69,0,31.0,-165,3.545,164.68,0.863
-4,threshold_.001v.00001,100,48,52,0,48.0,-1350,3.27,4310.762,0.788
-4,v5_vs_v5_negative_reward__times.3,300,148,152,0,49.333,-4217,3.237,28825.075,0.792
-4,UCB2_vs_UCB2_early_stop,10,3,7,0,30.0,-13,3.156,139.111,0.649
-404,vs_self_1000,1000,298,702,0,29.8,-1676,3.339,155.515,0.712
-44,discount.3v.7,1000,478,522,0,47.8,-13859,3.173,7010.869,0.776
-48,tree_vs_tree5.10000iters,500,226,274,0,45.2,-6744,3.442,6922.818,0.773
-48,UCB2_vs_UCB2_early_stop,100,26,74,0,26.0,-218,3.477,150.463,0.842
-58,threshold_.001v.0001,1000,471,529,0,47.1,-13676,3.006,4056.35,0.723
-6,threshold_.001v.00001,1000,497,503,0,49.7,-14096,2.971,4051.101,0.645
-6,threshold_.0001v.00001_10000iters,300,147,153,0,49.0,-4324,3.518,10552.682,0.822
-6,UCB2_vs_UCB2_early_stop,10,2,8,0,20.0,-27,2.341,163.021,0.72
-6,train_data_test,10,2,8,0,20.0,-91,4.771,314588.538,1.243
-8,threshold_.001v.00001_10000iters,300,146,154,0,48.667,-4321,3.209,7986.759,0.851
-8,UCB2_vs_UCB2_early_stop,10,1,9,0,10.0,-14,3.149,152.906,0.923
-8,UCB2_vs_UCB2_early_stop,10,1,9,0,10.0,-13,2.427,192.61,0.953
-92,ucb2_early_stopping_threshold.001,100,4,96,0,4.0,-1280,1.12,4599.482,1.142
-96,ucb2_early_stopping_implementation,100,2,98,0,2.0,-1374,1.292,2291.938,1.224
-98,ucb2_implementation,100,1,99,0,1.0,-1455,1.328,39171.545,1.202
-98,ucb2_early_stopping_650sim,100,1,99,0,1.0,-1413,1.305,2385.765,1.311
-98,ucb2_early_stopping_10000sim,100,1,99,0,1.0,-1498,1.231,1757.235,1.158
-98,ucb2_early_stopping_threshold.005from.01,100,1,99,0,1.0,-1348,1.097,1820.514,1.061
-98,ucb2_early_stopping_threshold.001,100,1,99,0,1.0,-1383,1.133,4791.496,1.226
0,tree.700_vs_random,10,5,5,0,50.0,-131,8743.442,5.4162356109184595e+26,1.172
0,tree.700_v_tree.700,4,2,2,0,50.0,-52,45.945,191958008998.408,2.441
0,tree.700_v_tree.700,4,2,2,0,50.0,-57,37.764,243433873595.75,2.961
0,train_data_test,10,5,5,0,50.0,-126,4.245,355200.243,1.1
1,tree.700_vs_random,1,1,0,0,100.0,-21,6.223,18885.42,0.0
10,tree.8000_v_random_negative_reward,100,55,45,0,55.0,-1344,8.179,98138.185,0.427
16,ucb2_against_randomtrump_reveal.9,200,108,92,0,54.0,-2644,3.704,4173.387,0.234
2,tree.700_vs_random,20,11,9,0,55.0,-264,3411796314.744,2.5378384147993522e+50,1.246
2,tree.700_v_tree.700,4,3,1,0,75.0,-67,17.068,116881248775.5,1.551
20,tree.8000_v_random,100,60,40,0,60.0,-1358,6.988,22170.921,0.507
20,ucb2_against_randomtrump_reveal.65,200,110,90,0,55.0,-2640,3.728,4012.48,0.242
26,tree.8000_v_random_no_simulation_trump,100,63,37,0,63.0,-1457,8.85,102139.832,0.594
28,ucb2_against_randomtrump_reveal.99,200,114,86,0,57.0,-2668,3.664,4575.047,0.236
284,sim.750_v_random,1000,642,358,0,64.2,-14478,3.001,21366.94,0.236
30,ucb2_against_randomtrump_reveal.70,200,115,85,0,57.5,-2761,3.724,4550.701,0.255
304,sim.750_negitive_reward_v_random,1000,652,348,0,65.2,-14220,3.156,21501.15,0.233
32,sim.750_negitive_reward_v_random,100,66,34,0,66.0,-1524,3.351,21107.079,0.195
34,ucb2_against_randomtrump_reveal.85,200,117,83,0,58.5,-2780,3.615,4445.778,0.261
4,tree.700_v_tree.700,20,12,8,0,60.0,-339,284178.305,1.931748528482051e+50,1.162
4,tree.7000_v_tree.700,100,52,48,0,52.0,-1574,3.995,21183.093,1.942
4,tree.7000_v_tree.700_team_B,100,52,48,0,52.0,-1236,3.956,20581.291,0.0
42,ucb2_against_random,200,121,79,0,60.5,-2824,3.773,4324.831,0.231
52,ucb2_against_randomtrump_reveal.85,200,126,74,0,63.0,-2961,3.634,4296.662,0.247
8,v5_vs_v5_negative_reward__times.7,500,254,246,0,50.8,-7028,3.128,28125.351,0.714
